,jd,sec,status,sw_proton_dens,sw_bulk_speed,sw_ion_temp
2024-07-17 15:48:00,60508.0,56880.0,0.0,2.0,363.8,82800.0
2024-07-17 15:49:00,60508.0,56940.0,0.0,2.2,361.9,81000.0
2024-07-17 15:50:00,60508.0,57000.0,0.0,2.3,363.5,73400.0
2024-07-17 15:51:00,60508.0,57060.0,0.0,2.4,361.9,72900.0
2024-07-17 15:52:00,60508.0,57120.0,0.0,1.8,364.4,86400.0
2024-07-17 15:53:00,60508.0,57180.0,0.0,2.0,360.0,94900.0
2024-07-17 15:54:00,60508.0,57240.0,0.0,1.9,360.7,98700.0
2024-07-17 15:55:00,60508.0,57300.0,0.0,2.1,359.0,90900.0
2024-07-17 15:56:00,60508.0,57360.0,0.0,1.8,364.0,89600.0
2024-07-17 15:57:00,60508.0,57420.0,0.0,2.0,363.7,88600.0
2024-07-17 15:58:00,60508.0,57480.0,0.0,2.0,366.0,75200.0
2024-07-17 15:59:00,60508.0,57540.0,9.0,-9999.9,-9999.9,-100000.0
2024-07-17 16:00:00,60508.0,57600.0,9.0,-9999.9,-9999.9,-100000.0
2024-07-17 16:01:00,60508.0,57660.0,9.0,-9999.9,-9999.9,-100000.0
2024-07-17 16:02:00,60508.0,57720.0,0.0,1.9,369.5,73400.0
2024-07-17 16:03:00,60508.0,57780.0,0.0,2.0,366.9,81800.0
2024-07-17 16:04:00,60508.0,57840.0,0.0,2.0,365.8,83800.0
2024-07-17 16:05:00,60508.0,57900.0,0.0,2.0,367.3,80600.0
2024-07-17 16:06:00,60508.0,57960.0,0.0,1.9,368.0,83800.0
2024-07-17 16:07:00,60508.0,58020.0,0.0,1.8,368.0,86400.0
2024-07-17 16:08:00,60508.0,58080.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-17 16:09:00,60508.0,58140.0,0.0,2.0,363.3,96600.0
2024-07-17 16:10:00,60508.0,58200.0,0.0,2.0,363.4,96600.0
2024-07-17 16:11:00,60508.0,58260.0,0.0,1.9,364.0,95800.0
2024-07-17 16:12:00,60508.0,58320.0,0.0,1.7,364.9,78300.0
2024-07-17 16:13:00,60508.0,58380.0,0.0,2.1,362.9,96900.0
2024-07-17 16:14:00,60508.0,58440.0,0.0,2.2,365.0,89000.0
2024-07-17 16:15:00,60508.0,58500.0,0.0,2.0,366.9,86900.0
2024-07-17 16:16:00,60508.0,58560.0,0.0,1.9,365.3,90100.0
2024-07-17 16:17:00,60508.0,58620.0,0.0,2.0,363.6,90400.0
2024-07-17 16:18:00,60508.0,58680.0,0.0,1.9,365.2,93200.0
2024-07-17 16:19:00,60508.0,58740.0,0.0,1.9,364.9,95900.0
2024-07-17 16:20:00,60508.0,58800.0,0.0,1.8,365.8,102000.0
2024-07-17 16:21:00,60508.0,58860.0,0.0,1.9,366.3,104000.0
2024-07-17 16:22:00,60508.0,58920.0,0.0,2.0,365.9,101000.0
2024-07-17 16:23:00,60508.0,58980.0,0.0,1.8,367.6,102000.0
2024-07-17 16:24:00,60508.0,59040.0,0.0,2.0,365.7,98700.0
2024-07-17 16:25:00,60508.0,59100.0,0.0,1.9,365.9,91500.0
2024-07-17 16:26:00,60508.0,59160.0,0.0,1.9,364.2,79900.0
2024-07-17 16:27:00,60508.0,59220.0,0.0,1.6,367.0,81100.0
2024-07-17 16:28:00,60508.0,59280.0,0.0,1.8,366.7,84100.0
2024-07-17 16:29:00,60508.0,59340.0,0.0,1.6,368.7,87800.0
2024-07-17 16:30:00,60508.0,59400.0,0.0,1.8,363.6,100000.0
2024-07-17 16:31:00,60508.0,59460.0,0.0,1.8,364.5,100000.0
2024-07-17 16:32:00,60508.0,59520.0,0.0,1.7,364.3,93900.0
2024-07-17 16:33:00,60508.0,59580.0,0.0,1.8,364.7,87200.0
2024-07-17 16:34:00,60508.0,59640.0,0.0,1.7,365.1,87600.0
2024-07-17 16:35:00,60508.0,59700.0,0.0,1.6,366.0,92600.0
2024-07-17 16:36:00,60508.0,59760.0,0.0,1.7,366.4,92100.0
2024-07-17 16:37:00,60508.0,59820.0,0.0,1.7,366.5,90600.0
2024-07-17 16:38:00,60508.0,59880.0,0.0,1.8,366.1,90800.0
2024-07-17 16:39:00,60508.0,59940.0,0.0,1.9,364.4,89600.0
2024-07-17 16:40:00,60508.0,60000.0,0.0,1.9,363.8,94500.0
2024-07-17 16:41:00,60508.0,60060.0,3.0,-9999.9,-9999.9,-100000.0
