,jd,sec,status,sw_proton_dens,sw_bulk_speed,sw_ion_temp
2024-07-16 18:23:00,60507.0,66180.0,0.0,4.3,378.4,104000.0
2024-07-16 18:24:00,60507.0,66240.0,0.0,4.7,385.0,111000.0
2024-07-16 18:25:00,60507.0,66300.0,1.0,4.5,380.4,78800.0
2024-07-16 18:26:00,60507.0,66360.0,0.0,5.0,384.4,103000.0
2024-07-16 18:27:00,60507.0,66420.0,0.0,5.4,388.5,113000.0
2024-07-16 18:28:00,60507.0,66480.0,0.0,4.8,384.3,85600.0
2024-07-16 18:29:00,60507.0,66540.0,0.0,4.5,380.9,80400.0
2024-07-16 18:30:00,60507.0,66600.0,0.0,5.2,383.8,97400.0
2024-07-16 18:31:00,60507.0,66660.0,0.0,5.2,385.7,96100.0
2024-07-16 18:32:00,60507.0,66720.0,0.0,4.2,381.2,82900.0
2024-07-16 18:33:00,60507.0,66780.0,0.0,3.8,372.7,75400.0
2024-07-16 18:34:00,60507.0,66840.0,0.0,5.7,392.1,166000.0
2024-07-16 18:35:00,60507.0,66900.0,0.0,7.0,392.9,161000.0
2024-07-16 18:36:00,60507.0,66960.0,0.0,5.3,380.3,97600.0
2024-07-16 18:37:00,60507.0,67020.0,0.0,3.6,371.0,43600.0
2024-07-16 18:38:00,60507.0,67080.0,0.0,5.2,388.3,143000.0
2024-07-16 18:39:00,60507.0,67140.0,0.0,5.4,390.3,154000.0
2024-07-16 18:40:00,60507.0,67200.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-16 18:41:00,60507.0,67260.0,0.0,4.2,374.3,77200.0
2024-07-16 18:42:00,60507.0,67320.0,1.0,4.4,373.9,65200.0
2024-07-16 18:43:00,60507.0,67380.0,0.0,4.8,379.6,70500.0
2024-07-16 18:44:00,60507.0,67440.0,0.0,4.7,387.8,82300.0
2024-07-16 18:45:00,60507.0,67500.0,0.0,4.4,388.2,79500.0
2024-07-16 18:46:00,60507.0,67560.0,0.0,4.8,384.5,73700.0
2024-07-16 18:47:00,60507.0,67620.0,0.0,5.4,387.4,81100.0
2024-07-16 18:48:00,60507.0,67680.0,1.0,5.8,391.5,100000.0
2024-07-16 18:49:00,60507.0,67740.0,0.0,5.2,389.8,107000.0
2024-07-16 18:50:00,60507.0,67800.0,0.0,5.3,382.1,72000.0
2024-07-16 18:51:00,60507.0,67860.0,1.0,5.0,387.9,165000.0
2024-07-16 18:52:00,60507.0,67920.0,0.0,6.5,385.4,114000.0
2024-07-16 18:53:00,60507.0,67980.0,0.0,5.0,381.3,93200.0
2024-07-16 18:54:00,60507.0,68040.0,0.0,5.1,372.2,60700.0
2024-07-16 18:55:00,60507.0,68100.0,0.0,5.6,390.5,103000.0
2024-07-16 18:56:00,60507.0,68160.0,0.0,6.2,390.9,97000.0
2024-07-16 18:57:00,60507.0,68220.0,0.0,6.6,388.1,60700.0
2024-07-16 18:58:00,60507.0,68280.0,0.0,5.5,372.9,51400.0
2024-07-16 18:59:00,60507.0,68340.0,0.0,6.5,382.0,96400.0
2024-07-16 19:00:00,60507.0,68400.0,0.0,7.4,397.3,135000.0
2024-07-16 19:01:00,60507.0,68460.0,0.0,6.2,394.3,117000.0
2024-07-16 19:02:00,60507.0,68520.0,0.0,5.4,389.8,92900.0
2024-07-16 19:03:00,60507.0,68580.0,0.0,5.8,391.7,107000.0
2024-07-16 19:04:00,60507.0,68640.0,0.0,5.5,387.9,111000.0
2024-07-16 19:05:00,60507.0,68700.0,0.0,6.0,388.2,81800.0
2024-07-16 19:06:00,60507.0,68760.0,0.0,6.1,388.6,87900.0
2024-07-16 19:07:00,60507.0,68820.0,0.0,7.0,400.1,159000.0
2024-07-16 19:08:00,60507.0,68880.0,0.0,6.7,391.7,110000.0
2024-07-16 19:09:00,60507.0,68940.0,0.0,6.5,393.8,104000.0
2024-07-16 19:10:00,60507.0,69000.0,0.0,6.0,367.9,36600.0
2024-07-16 19:11:00,60507.0,69060.0,0.0,6.1,393.8,125000.0
2024-07-16 19:12:00,60507.0,69120.0,0.0,6.1,399.6,144000.0
2024-07-16 19:13:00,60507.0,69180.0,3.0,-9999.9,-9999.9,-100000.0
2024-07-16 19:14:00,60507.0,69240.0,0.0,6.3,367.3,57900.0
2024-07-16 19:15:00,60507.0,69300.0,0.0,5.9,385.0,130000.0
2024-07-16 19:16:00,60507.0,69360.0,0.0,5.9,396.8,162000.0
2024-07-16 19:17:00,60507.0,69420.0,0.0,6.1,395.6,136000.0
2024-07-16 19:18:00,60507.0,69480.0,0.0,15.2,384.9,88200.0
2024-07-16 19:19:00,60507.0,69540.0,0.0,25.4,378.3,34600.0
2024-07-16 19:20:00,60507.0,69600.0,0.0,10.4,404.8,85700.0
2024-07-16 19:21:00,60507.0,69660.0,1.0,5.1,392.2,86800.0
2024-07-16 19:22:00,60507.0,69720.0,0.0,4.9,394.3,96700.0
2024-07-16 19:23:00,60507.0,69780.0,0.0,4.9,386.0,82900.0
2024-07-16 19:24:00,60507.0,69840.0,0.0,5.6,392.1,122000.0
2024-07-16 19:25:00,60507.0,69900.0,0.0,5.6,390.3,118000.0
2024-07-16 19:26:00,60507.0,69960.0,0.0,5.0,391.0,97000.0
2024-07-16 19:27:00,60507.0,70020.0,0.0,6.0,390.1,87400.0
2024-07-16 19:28:00,60507.0,70080.0,0.0,6.2,392.1,106000.0
2024-07-16 19:29:00,60507.0,70140.0,0.0,5.7,393.0,99800.0
2024-07-16 19:30:00,60507.0,70200.0,0.0,5.6,391.1,110000.0
2024-07-16 19:31:00,60507.0,70260.0,0.0,9.7,384.5,82200.0
2024-07-16 19:32:00,60507.0,70320.0,0.0,12.3,393.5,68300.0
