,jd,sec,status,bx_gsm,by_gsm,bz_gsm,bt_gsm,lat_gsm,lon_gsm
2024-07-17 15:48:00,60508.0,56880.0,0.0,-4.6,1.1,-2.3,5.2,-25.5,166.9
2024-07-17 15:49:00,60508.0,56940.0,0.0,-4.6,1.0,-2.3,5.3,-26.2,167.5
2024-07-17 15:50:00,60508.0,57000.0,0.0,-4.7,0.7,-2.2,5.2,-25.2,171.4
2024-07-17 15:51:00,60508.0,57060.0,0.0,-4.6,1.5,-2.2,5.3,-24.6,162.0
2024-07-17 15:52:00,60508.0,57120.0,0.0,-4.6,1.5,-2.0,5.2,-22.5,162.1
2024-07-17 15:53:00,60508.0,57180.0,0.0,-4.5,1.5,-1.9,5.1,-22.3,162.0
2024-07-17 15:54:00,60508.0,57240.0,0.0,-4.5,1.5,-1.9,5.1,-21.2,161.6
2024-07-17 15:55:00,60508.0,57300.0,0.0,-4.5,1.6,-1.9,5.1,-21.5,160.5
2024-07-17 15:56:00,60508.0,57360.0,0.0,-4.6,1.3,-2.1,5.2,-23.9,163.8
2024-07-17 15:57:00,60508.0,57420.0,0.0,-4.6,1.1,-2.4,5.3,-27.2,166.1
2024-07-17 15:58:00,60508.0,57480.0,0.0,-4.5,1.1,-2.3,5.2,-26.6,165.7
2024-07-17 15:59:00,60508.0,57540.0,9.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2024-07-17 16:00:00,60508.0,57600.0,0.0,-4.6,1.2,-1.8,5.1,-20.6,165.1
2024-07-17 16:01:00,60508.0,57660.0,9.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2024-07-17 16:02:00,60508.0,57720.0,9.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2024-07-17 16:03:00,60508.0,57780.0,0.0,-4.6,1.4,-2.0,5.2,-23.0,163.5
2024-07-17 16:04:00,60508.0,57840.0,0.0,-4.6,1.1,-1.9,5.1,-21.7,166.7
2024-07-17 16:05:00,60508.0,57900.0,0.0,-4.6,1.5,-1.9,5.2,-21.8,162.0
2024-07-17 16:06:00,60508.0,57960.0,0.0,-4.7,1.6,-1.8,5.3,-19.9,160.9
2024-07-17 16:07:00,60508.0,58020.0,0.0,-4.5,1.6,-2.0,5.2,-22.9,159.8
2024-07-17 16:08:00,60508.0,58080.0,0.0,-4.4,1.7,-2.1,5.1,-24.3,158.7
2024-07-17 16:09:00,60508.0,58140.0,0.0,-4.4,1.6,-2.1,5.1,-23.7,159.5
2024-07-17 16:10:00,60508.0,58200.0,0.0,-4.4,1.6,-2.0,5.1,-23.4,160.6
2024-07-17 16:11:00,60508.0,58260.0,0.0,-4.5,1.5,-2.0,5.2,-22.5,161.6
2024-07-17 16:12:00,60508.0,58320.0,0.0,-4.7,1.5,-1.5,5.1,-16.8,162.6
2024-07-17 16:13:00,60508.0,58380.0,0.0,-4.8,1.6,-1.4,5.2,-15.9,161.6
2024-07-17 16:14:00,60508.0,58440.0,0.0,-4.7,1.5,-1.7,5.2,-18.9,161.6
2024-07-17 16:15:00,60508.0,58500.0,0.0,-4.8,1.5,-1.5,5.2,-16.9,162.8
2024-07-17 16:16:00,60508.0,58560.0,0.0,-4.7,1.5,-1.5,5.2,-16.9,162.9
2024-07-17 16:17:00,60508.0,58620.0,0.0,-4.7,1.4,-1.6,5.1,-17.7,163.4
2024-07-17 16:18:00,60508.0,58680.0,0.0,-4.7,1.5,-1.5,5.2,-16.5,162.9
2024-07-17 16:19:00,60508.0,58740.0,0.0,-4.7,1.3,-1.5,5.1,-17.3,164.5
2024-07-17 16:20:00,60508.0,58800.0,0.0,-4.8,1.2,-1.4,5.1,-16.1,165.8
2024-07-17 16:21:00,60508.0,58860.0,0.0,-4.8,1.2,-1.4,5.1,-15.4,166.1
2024-07-17 16:22:00,60508.0,58920.0,0.0,-4.8,1.2,-1.4,5.2,-15.6,166.3
2024-07-17 16:23:00,60508.0,58980.0,0.0,-4.7,1.2,-1.4,5.1,-15.6,165.7
2024-07-17 16:24:00,60508.0,59040.0,0.0,-4.7,1.3,-1.5,5.1,-16.9,164.0
2024-07-17 16:25:00,60508.0,59100.0,0.0,-4.4,1.1,-2.4,5.1,-27.5,165.8
2024-07-17 16:26:00,60508.0,59160.0,0.0,-4.2,1.3,-2.7,5.2,-31.4,163.4
2024-07-17 16:27:00,60508.0,59220.0,0.0,-4.2,1.2,-2.7,5.1,-31.9,164.4
2024-07-17 16:28:00,60508.0,59280.0,0.0,-4.3,1.2,-2.5,5.1,-29.0,164.3
2024-07-17 16:29:00,60508.0,59340.0,0.0,-4.6,1.3,-2.0,5.2,-22.9,163.8
2024-07-17 16:30:00,60508.0,59400.0,0.0,-4.6,1.3,-2.0,5.2,-22.4,164.0
2024-07-17 16:31:00,60508.0,59460.0,0.0,-4.6,1.3,-2.0,5.2,-23.2,164.7
