,jd,sec,status_e,eflux_38-53,eflux_175-315,status_p,pflux_47-68,pflux_115-195,pflux_310-580,pflux_795-1193,pflux_1060-1900,anis_ind
2024-07-16 18:20:00,60507.0,66000.0,0.0,4700.0,91.5,0.0,3020.0,137.0,12.7,2.83,1.01,-1.0
2024-07-16 18:25:00,60507.0,66300.0,0.0,4920.0,91.9,0.0,2780.0,126.0,11.5,2.68,0.908,-1.0
2024-07-16 18:30:00,60507.0,66600.0,0.0,4840.0,83.8,0.0,2950.0,118.0,12.2,2.32,0.902,-1.0
2024-07-16 18:35:00,60507.0,66900.0,0.0,4480.0,81.8,0.0,2900.0,116.0,11.9,2.53,0.951,-1.0
2024-07-16 18:40:00,60507.0,67200.0,0.0,4410.0,76.6,0.0,2890.0,115.0,11.4,2.49,0.99,-1.0
2024-07-16 18:45:00,60507.0,67500.0,0.0,4530.0,83.6,0.0,2910.0,120.0,11.0,2.47,1.13,-1.0
2024-07-16 18:50:00,60507.0,67800.0,0.0,4250.0,83.4,0.0,2980.0,126.0,11.1,2.47,1.1,-1.0
2024-07-16 18:55:00,60507.0,68100.0,0.0,4110.0,73.3,0.0,2890.0,120.0,10.6,2.43,1.19,-1.0
2024-07-16 19:00:00,60507.0,68400.0,0.0,4070.0,73.6,0.0,2860.0,146.0,14.3,2.51,0.972,-1.0
2024-07-16 19:05:00,60507.0,68700.0,0.0,4330.0,70.3,0.0,2990.0,130.0,12.6,2.8,0.828,-1.0
2024-07-16 19:10:00,60507.0,69000.0,0.0,4200.0,72.9,0.0,3050.0,158.0,15.1,2.68,1.13,-1.0
2024-07-16 19:15:00,60507.0,69300.0,0.0,4090.0,73.4,0.0,2960.0,156.0,15.2,2.87,1.07,-1.0
2024-07-16 19:20:00,60507.0,69600.0,0.0,4260.0,75.5,0.0,3000.0,148.0,12.8,3.17,1.19,-1.0
2024-07-16 19:25:00,60507.0,69900.0,0.0,3810.0,68.2,0.0,3050.0,149.0,15.6,3.08,1.05,-1.0
2024-07-16 19:30:00,60507.0,70200.0,0.0,3840.0,69.9,0.0,3120.0,169.0,16.2,3.12,1.31,-1.0
2024-07-16 19:35:00,60507.0,70500.0,0.0,3730.0,58.8,0.0,2880.0,161.0,15.2,3.56,1.3,-1.0
2024-07-16 19:40:00,60507.0,70800.0,0.0,3850.0,63.6,0.0,3050.0,149.0,14.5,4.15,1.49,-1.0
2024-07-16 19:45:00,60507.0,71100.0,0.0,3670.0,64.9,0.0,3090.0,154.0,14.8,3.28,1.49,-1.0
2024-07-16 19:50:00,60507.0,71400.0,0.0,3390.0,60.2,0.0,2900.0,156.0,14.2,3.8,1.23,-1.0
2024-07-16 19:55:00,60507.0,71700.0,0.0,3800.0,62.1,0.0,3070.0,155.0,15.1,3.83,1.38,-1.0
2024-07-16 20:00:00,60507.0,72000.0,0.0,3420.0,65.8,0.0,2990.0,148.0,15.1,3.41,1.23,-1.0
2024-07-16 20:05:00,60507.0,72300.0,0.0,3330.0,62.2,0.0,2900.0,137.0,13.1,4.39,1.8,-1.0
2024-07-16 20:10:00,60507.0,72600.0,0.0,3460.0,59.6,0.0,2840.0,148.0,14.0,4.31,1.76,-1.0
2024-07-16 20:15:00,60507.0,72900.0,0.0,3290.0,63.2,0.0,3000.0,139.0,14.1,4.4,2.04,-1.0
